Survey name,"What can researchers do to improve the quality of health and medical research in Australia? (Queensland University of Technology, Monday 8th April)",,,Report title,"What can researchers do to improve the quality of health and medical research in Australia? (Queensland University of Technology, Monday 8th April)"
Survey description,This brief survey is to help us focus the day on the issues that you think are most important.,,,Report introduction,
Respondent #,Submit date,Email/Password,"Of the following 20 problems in research, please select which five (or fewer) you think are the most important to address. Please focus on the most important national issues for Australia.   (The list order has been randomised, so related policies may not be together)",,,,,,,,,,,,,,,,,,,,Are there other major problems in research in Australia that we should consider at the meeting? Please tell us below,"Which of the following 21 potential policy changes or actions would you endorse to help improve research in Australia? Please click five or fewer policies.  We appreciate that a lot of detail is missing here, but we are interested in which policies have your broad support with the details to be worked out.  (The order of the policies has been randomised)",,,,,,,,,,,,,,,,,,,,,Please suggest other possible policy changes or actions,Please share the policies or practices that you use in your own research to maximise research quality. If there are none then please write 'None'. All answers are anonymous.,Please share the policies or practices that your institution have already implemented to maximise research quality. If there are none then please write 'None'. All answers are anonymous.,What is your broad area of research?,
,,,current.problems,,,,,,,,,,,,,,,,,,,,other.issues,policy.endorse,,,,,,,,,,,,,,,,,,,,,your.policy,your.practice,your.inst.policy,,
10,"2019-03-12 16:10:33",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,,,,,,,,,Too much competition for too little funding,Suppression/sanitisation of unfavourable or commercially damaging results,,,Discrimination against female researchers,,"Educating the public about the positive qualities of research - negative publicity about research reaches the public, but most of the public has no idea of the rigors of research.",,,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,"New national funding specifically for researchers to write up unpublished null findings, recent or past",,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,,,,,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,That specific funding be set aside for truly innovative projects,,,,,,n/a,-,Not a researcher,
11,"2019-03-12 16:52:50",,,,,,,,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,Resistance to correct or retract flawed papers,,,,Too much competition for too little funding,,,Training too many PhD students given the level of research funding available,,,,,Mandating the inclusion of accredited statisticians and data management experts on research teams,,,,,,,,,,,New national funding for fellowships for statisticians and health economists,,,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,Being prepared to change my view of the world if compelling data falsifies my prior hypothesis.,None,,
12,"2019-03-12 17:36:45",,,,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,,Suppression/sanitisation of unfavourable or commercially damaging results,Predatory journals and conferences,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,,Policies to encourage wider use of project management tools such as github and training in version control,,,,,,,"Educating students and researchers about scholarly communication, including predatory conferences and journals",,Statistical teaching sessions  GitHub pipelines  In-group project proposal and constructive critique  Training in basic research methods  ,Statistical unit and statistics teaching  Data warehousing ,Basic Science,
13,"2019-03-12 17:29:57",,,,,Lack of involvement of statisticians and epidemiologists on research teams,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,Insufficient national oversight of universities and research institutes,,Poor research culture of institutions/research groups,,,,,,,There is no training on HOW to translate (for public policy) or commercialise (for profit) research. This is particularly important most funding is tied to engagement and impact and all universities expect researchers to bring in external money/funding. ,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,New national funding for fellowships for statisticians and health economists,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,"All PhD, postdoc and EMCR professional development should include education on HOW to translate (for policy or to underpin the research of others) or commercialise (for profit), their research. This education would include project management. In this way, if a research waste is reduced as specific insight and questions are asked (and should be answered) about their research and research is planned and managed with a QPI not just to a KPI from the university.",Construct a research strategy map prior to commencing research to avoid grant chasing and to maximise successful outcomes. Do not rely on chance (grant) funding. Employ project management practices and design a budget to complete the project properly rather than piecemeal funding. Then I find the $ to match the study design.,None,Other,Consultant research strategist/educator translation & commercialisation/knowledge and investment broker for research
14,"2019-03-13 03:07:53",,,Low rates of data and code sharing,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,,,,,,,,,,Preregistration,,,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,,,,,,"broader than data -- all research contents including materials, code, and other research contents, products, and process.",,,,
15,"2019-03-13 08:44:47",,,Low rates of data and code sharing,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,Poor research culture of institutions/research groups,,,,,,,,,,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,,,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),"Educating students and researchers about scholarly communication, including predatory conferences and journals",,Publishing open access  Making data available  Using reporting guidelines,Training of HDRs  Specific sessions on a publication practices,Other,Publishing and research ethics
16,"2019-03-14 12:16:07",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,,,,,Training too many PhD students given the level of research funding available,,,,,,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,"Requiring research data to be deposited in an open repository after studies are published, with a controlled access option for sensitive data",,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,,,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),,,,,Other,epidemiology
17,"2019-03-14 17:24:11",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,Poor research culture of institutions/research groups,,,,,,,,,,,,That some funding be specifically set aside to fund replication studies,"New national funding specifically for researchers to write up unpublished null findings, recent or past",,,,,,,New national funding for fellowships for statisticians and health economists,,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,,That specific funding be set aside for truly innovative projects,,,,,,,,Health Services Research,
18,"2019-03-18 09:52:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"2019-03-18 09:54:17",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,,,,,,Too much competition for too little funding,,Predatory journals and conferences,,,,,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,Lobbying universities to downplay league tables (like the Times Higher Education tables) and focus on real benefits to patients and the public,,,,New national funding for fellowships for statisticians and health economists,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,,,,Basic Science,
20,"2019-03-18 09:51:21",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",,,,,,,,Too much competition for too little funding,,,,,,,,,,That reproducibility training and practice becomes integrated into Masters and PhDs ,,,,,,,Awarding research funding based on the national burden of disease rather than the current investigator-driven model,,,,,That Australia implement a program similar to the UK's foresight scheme where policy makers and academics work together for 12 months to develop evidence-based policies on important national issues,,,,,,,Unsure,Unsure,Public Health,
21,"2019-03-21 19:44:10",,Low numbers of replication studies performed (for lack of funding or other reasons),,,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,,Too much competition for too little funding,,,,,,Too little government willingness to let go of the 'picking-winners' approach,"Better and continued training in research methods at all career stages, ideally using a national model that is available to all researchers",,,,,,,,,Revising academic incentives so that replication/reproducibility studies and open practices are highly valued,,,,,,,That specific funding be set aside for truly innovative projects,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,That specific funding be made available for meta-research (researching the research process) and journalology (the science of publication practices),,,I would like to attach a document. Where can I send it?,As above,Other,Translation
22,"2019-03-18 09:54:01",,,,,,,Unwillingness of journals and researchers to publish null results or replication studies,,Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,Poor-quality systematic reviews and meta-analyses,,Too much competition for too little funding,,,,Discrimination against female researchers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"2019-03-18 10:00:09",,Low numbers of replication studies performed (for lack of funding or other reasons),,Low rates of registration of protocols and clinical trials,,"Poorly conducted research, e.g., failure to randomise, failure to blind",,,,Over-emphasis on p-values/statistical significance and re-analysing data until statistical significance is achieved,Insufficient use of research design and reporting guidelines (EQUATOR),,,,,,,,,,,,,,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",That reproducibility training and practice becomes integrated into Masters and PhDs ,,,Requiring a replication component as part of grant proposals,,,,,,,,A national system of random audits that will provide a detailed examination of the quality of a researcher or research group. Only around 1% of researchers would be audited.,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,"Peer review of protocol/proposal through at least two different entities (grant review, research initiative review). Registering trial and outcomes prospectively. Publishing protocol.",Peer review,Clinical Sciences,
24,"2019-03-18 10:01:42",,,,,,,,"Inappropriate academic incentives (“publish or perish” reward systems focus on citations, especially in “top” journals, rather than research resulting in real changes to practice)",Insufficient training of researchers and supervisors in research reproducibility and basic study design,,,,,,Poor research culture of institutions/research groups,,Suppression/sanitisation of unfavourable or commercially damaging results,,,Discrimination against female researchers,,"Research engagement of clinicians without appropriate training, supervision, time or support. ",,Mandating the inclusion of accredited statisticians and data management experts on research teams,"Requiring that all Australian trials be registered, make a protocol available, and publish their results, with consequences for researchers who fail to comply",,That some funding be specifically set aside to fund replication studies,,,,,,,,,Policies to encourage wider use of project management tools such as github and training in version control,,,,A national inquiry into the burden of research ethics and governance in health and medical research Australia,,,,,,,,
